id,accountId,puuid,,profileIconId,revisionDate,summonerLevel,champ1,champ2,champ3,lane,gender,born_year,game_started_year,MBTI
SG3Q4A4c7w5HooVikMBAbhyNQbfgpPHpgU_pN_dgrtVb72g,9eDgYTBpQtJlvbzxSQFK1xk4iQWPy8k8HNYk15_umxXJEEs,VZ-1sVWG1gc72NYlplAllb13m78Unr-9i60qAaq_XTBIQWiJDttStw07SM-BAu4WfBdeAudcTy0vFg,,4706,1.61E+12,161,22,21,51,ADC,man,1999,2013,ISFJ
6eY1TiWvYUabE3dwhWgTF0eIloZArnCQNVEtxhLYix-8s8M,2AMblchEtgciZqOpfbmBZNaRjo_vqvb8ft1lFESqtiKotx8,Zc9in8pPEmYEuKI_7j-LTWfFk-FIbOcO67yJfNbfquhIqZrhaX8E9godiM-k9565G_km3PZ6QLTyBA,,4787,1.61E+12,260,86,82,8,TOP,man,2001,2012,INTP
K3CFygBKtlgNP1y1h85Yv8__XFEDxiF0YhxcqUS0OmfCEA0,M_UlWtSfnVjGZspNEcxjvejc0bKFxrzdfIXQhrCe4Mej6vBotqlLj5KA,HL9kvemmCw4S5cDM74E2fLnWlnvQ7stGmjWBpX_zkhQWB3x30b70tZFXbp5uALFmOdpvkjgt-KPa3w,,4706,1.60E+12,162,86,89,8,SUPPORT,man,2002,2019,INFP
eJbrAlSyxUzjCvumL1-32zcGqZCMxC0-xbNLPcHbpRYcbsk,MDxCYxa7uhOsKZLTEz9Y3XzNopLPeqXtp53UT8PnjlOUiG8,zcwpvg4LNOlm4lxpQbF87MNmRvYDs5O_tuvj9kxvFi3JD2xsH-5EEV7N9vPMp6WK6LYHGloXd1N2bA,,4799,1.61E+12,291,84,555,101,MID,man,2001,2013,ISTJ
7VBpD1txCk2-mr8YwJyxiBwiL-cn-JpkGsmF18Kx9Kb060A,I8jki5mnbQjsQ9bfA9AfVGv6QOzIdeYxQc_4XkyqgptiKuM,cgmIphidzxDv1DxAk-jCiTALtNaSWLxpfre5FRl7YrKFdY9ULyvDumvwMnn3RxIAacq-QRmE_ggIDA,,4498,1.61E+12,182,56,106,110,MID,man,1995,2012,ISTP
q9I50FyZO3E3iC3D-ormOwRVqIg5hAZD7j71aefZeIuBNQ,lLbT9aL2iKFc3JF_tcVf2iDZvVbyIR4xgbQJCD_V7XsH,oFA9zLY8qrbT7IVuukg7ra5m3ZtQN0qDYemA2VtND0jKEeaTbmCYwPtYoq3ttf92kjngRDPr9TqQ2A,,4610,1.61E+12,252,107,48,89,SUPPORT,man,2001,2012,ENFP
ONU21CK7biMTl4oOYsU4t6JzxofnpoxamsW9jvkLzZkGQrI,3AjUky_W2Nd218OFct29f_OYQuveESdXvZtt_ryzGfTX,GU7Pji7gYc9GFVG4RoJCKH4eZ90c4pcGXbvoicvgQilCh9C0PST1Cjb3u7N6RaI_T00Mk5YW2gGRsg,,579,1.61E+12,225,60,421,203,JUNGLE,man,1998,2013,ENTJ
yjPq7Q8bJo-GHgX3RyAUK0edk_gEgvPR9NYO8YjYTECO0YI,z3fEEDeytfX0zdqKKl64yyc0iySg99EzBl5lOo3QtNKa,R3SqOPpacBJIXtXfxYrfcwAOJyaa2xHwY31d0V1j3y62ece5q-cOt6XtE7cqOc23fFalrrdkgGHFiw,,4675,1.61E+12,174,11,90,59,JUNGLE,man,1996,2013,INTP
ww2F2pBrH7oHIx2dnmNoB9Pm3QIFqKdnHtryFX3kDJdfyQ,WluVGY8kAyqNJbNOvlkyun8dSV4hVnsEcxqZ9rM0YH3L,p6qKGsOpCOMq-cLukQli2nj7aSMhqNEz_NKur50j-JkxVujtXlbZ8NiRTgB1SK5F1QunMtMkQV9dvw,,4021,1.61E+12,267,107,412,81,TOP,man,1998,2013,ISFP
dN9FTsd8UqCMGyVk5oNyMonRBdrK4dIocv4DkJ-Y5pbhjO4,FC6dkFBzO4hLTBHRqac_ufS6Gbuoy0nCHf3dJ5WZ29SwEEF56soGxGZ4,fzJLk5uQiUo2o-Zj9Vm8EmcQaQfwjV_WkBQPnevusJaUFRfE1hvnvcPwLhf8v86YPzcRZfwDq3M62Q,,3712,1.61E+12,68,106,25,2,SUPPORT,man,2006,2020,ISTP
23kaKvnyK5glz_TmINy9wpfNQGDqNM6hagbazvKuUO8kZg,qlD0oWJppwNxoUu4h-BVfDwA0i3T29JeCxUHo3s9M7Dm,nLArK9mKIOPQgwwcPAeKa1_bvckh1nBjS1rOjVlEA3gMOx_ViEATPzlE6q8xK8UzyBxqwuxB-52A0g,,1458,1.61E+12,127,141,104,222,JUNGLE,man,1992,2012,ENFP
nT86ObeuZlgcfz1PQBEhlAcZt_d12zsrIs1cVjSHIavwjLg,AH-J76gelbJl2XDmD4EsgiCSEEYdNpcfmgSHj3edF-T7,LNi_hH-hQ5jLUo12gXc3diqjyZdDeEEBlulxLWbkfNod2K0NYPqMdnjkhsEag1Q3WApH4DLKQNngTA,,4814,1.61E+12,259,80,39,517,MID,man,1998,2013,INFP
i0mpwixyT-Gw2R8t92nnUibm4wEh6j7s61J5Hvbe2Ee0_tA,wX9H-8tpw-xBgrW9q0C9ohP9BYDWnFHDmqtgxVFgATsr4Rj1t8ft_jY8,Fz_NuKGPa5mbbJjumTvB8x_1JzEqkg8S6LT7D24e5DS0wDzCQPL-5DA6s3M0cjA_fxA3TJ3RPU9GPA,,4763,1.61E+12,116,22,21,81,ADC,man,2001,2020,ISFJ
f8AKYNLD2D0ttEIj4kER_5uk4m1aC3aylKkdsbUQkScaf-4,R8xcl91LOY38u95WBeUTy3I-JeQi3oyl6CRoEMafgVs5jCc,nEzb2DsDqmAXcyNtanU2TU96UrJP_y00oJDsyvfOHlsy60ahPaIeJtqWqrWk15EyUQib2WRrhp2MhA,,4707,1.61E+12,211,78,57,875,TOP,man,1997,2015,ISTJ
7DC4vuiBw_RrGNVtBp5CMsDR8d4nLRbiINCWSh1gjtUwwIs,q0tUaJ3gAq0XkM7zEIy592DKwXsqqggBMKV8Dg5P6jMwXNH2aoyX3A1A,khb9HTMS2keGIVvIuRO3nmRuLchzMG-JngxWEpnWqMZkDzoxOgvZKhdYU5dmhtSYpbEeonIUdA83BQ,,4249,1.60E+12,51,14,81,101,TOP,man,2001,2012,ISFP
